GEO,POB,SEX,LMS,ROY,COC,AGE,TIME,PROVIDER,VALUE,FLAGS,FOOTNOTES
DE277,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,81087,,,
DE278,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,101661,,,
DE279,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,132878,,,
DE27A,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,66540,,,
DE27B,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,118557,,,
DE27C,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,120939,,,
DE27D,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,113061,,,
DE27E,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,133253,,,
DE3,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,2674574,,,
DE30,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,2674574,,,
DE300,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,2674574,,,
DE4,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,2230028,,,
DE40,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,2230028,,,
DE401,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,65224,,,
DE402,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,87885,,,
DE403,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,52257,,,
DE404,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,140519,,,
DE405,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,159179,,,
DE406,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,144656,,,
DE407,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,101765,,,
DE408,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,137867,,,
DE409,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,168675,,,
DE40A,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,183859,,,
DE40B,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,107477,,,
DE40C,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,161423,,,
DE40D,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,91125,,,
DE40E,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,187754,,,
DE40F,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,72106,,,
DE40G,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,111861,,,
DE40H,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,145529,,,
DE40I,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,110867,,,
DE5,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,509480,,,
DE50,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,509480,,,
DE501,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,423893,,,
DE502,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,85587,,,
DE6,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,1343283,,,
DE60,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,1343283,,,
DE600,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,1343283,,,
DE7,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,4756572,,,
DE71,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,2895790,,,
DE711,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,108176,,,
DE712,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,449989,,,
DE713,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,73435,,,
DE714,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,202204,,,
DE715,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,219267,,,
DE716,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,232564,,,
DE717,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,191977,,,
DE718,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,181206,,,
DE719,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,326346,,,
DE71A,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,178697,,,
DE71B,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,79870,,,
DE71C,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,255823,,,
DE71D,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,152213,,,
DE71E,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,244023,,,
DE72,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,846287,,,
DE721,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,201104,,,
DE722,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,207555,,,
DE723,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,141152,,,
DE724,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,202060,,,
DE725,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,94416,,,
DE73,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,1014495,,,
DE731,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,145541,,,
DE732,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,183076,,,
DE733,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,103504,,,
DE734,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,202546,,,
DE735,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,156967,,,
DE736,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,132526,,,
DE737,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,90335,,,
DE8,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,1437168,,,
DE80,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,1437168,,,
DE801,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,49285,,,
DE802,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,57406,,,
DE803,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,174841,,,
DE804,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,78059,,,
DE805,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,50660,,,
DE806,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,36756,,,
DE807,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,104857,,,
DE808,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,70229,,,
DE809,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,87106,,,
DE80A,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,109413,,,
DE80B,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,68851,,,
DE80C,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,58091,,,
DE80D,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,92801,,,
DE80E,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,102769,,,
